period,word_count,unique_words,ttr,avg_word_length,line_count,avg_line_length,repetition_ratio,question_marks,exclamation_marks,comma_count,quote_count,first_person_count,second_person_count
Early,170.28813559322035,84.0,0.5044255453303682,3.875630656636667,1.0,170.28813559322035,0.49557445466963174,1.4576271186440677,0.4406779661016949,14.135593220338983,1.0847457627118644,5.966101694915254,6.169491525423729
Late,195.85714285714286,109.07142857142857,0.5586530343023678,3.952251943123579,1.0,195.85714285714286,0.44134696569763227,1.6964285714285714,0.26785714285714285,19.875,3.4107142857142856,9.035714285714286,8.339285714285714
Middle,192.0655737704918,102.0,0.545857437428194,3.8531106873321463,1.0,192.0655737704918,0.454142562571806,0.7213114754098361,0.11475409836065574,29.016393442622952,3.19672131147541,8.62295081967213,6.573770491803279
